'1','00001'
'2','00002'
'3','00003'
'5','00005'
'6','00006'
'7','00007'
'8','00008'
'9','00009'
'12','00012'
'28','00025'
'29','00025'
'30','00026'
'31','00027'
'32','00028'
'33','00029'
'36','00032'
'38','00034'
'40','00036'
'52','00049'
'18','00050'
'54','00052'
'55','00053'
'56','00054'
'57','00055'
'58','00056'
'59','00057'
'7','00058'
'60','00059'
'75','00073'
'78','00076'
'79','00077'
'80','00078'
'81','00079'
'82','00079'
'83','00080'
'84','00081'
'85','00082'
'13','00083'
'71','00084'
'44','00099'
'3','00100'
'70','00101'
'99','00102'
'100','00103'
'101','00103'
'102','00104'
'103','00105'
'105','00107'
'106','00108'
'120','00121'
'99','00122'
'122','00124'
'123','00125'
'124','00126'
'125','00127'
'126','00127'
'127','00128'
'128','00129'
'129','00130'
'130','00131'
'143','00145'
'144','00146'
'140','00147'
'145','00148'
'146','00149'
'134','00151'
'33','00152'
'23','00153'
'150','00156'
'158','00169'
'133','00170'
'159','00171'
'160','00172'
'162','00174'
'163','00174'
'6','00175'
'164','00176'
'118','00177'
'119','00177'
'144','00179'
'124','00180'
'173','00193'
'110','00194'
'92','00195'
'175','00197'
'90','00199'
'177','00200'
'130','00201'
'157','00202'
'178','00203'
'179','00203'
'180','00204'
'43','00217'
'191','00218'
'55','00219'
'185','00222'
'96','00223'
'195','00225'
'197','00227'
'178','00228'
'179','00228'
'229','00289'
'230','00290'
'152','00291'
'232','00293'
'219','00294'
'151','00296'
'170','00297'
'80','00299'
'6','00300'
'263','00338'
'273','00339'
'144','00340'
'265','00341'
'266','00341'
'267','00342'
'268','00343'
'36','00344'
'269','00345'
'30','00346'
'155','00347'
'156','00347'
'9','00348'
'270','00349'
