'1','00001'
'2','00002'
'3','00100'
'3','00003'
'5','00005'
'6','00175'
'6','00006'
'6','00300'
'7','00058'
'7','00007'
'8','00069'
'8','00008'
'9','00009'
'9','00348'
'12','00012'
'13','00013'
'13','00119'
'13','00083'
'14','00014'
'15','00014'
'16','00015'
'17','00015'
'18','00050'
'18','00016'
'19','00017'
'20','00018'
'21','00018'
'23','00020'
'23','00153'
'25','00022'
'28','00025'
'28','00043'
'29','00025'
'29','00043'
'30','00346'
'30','00026'
'31','00027'
'32','00028'
'33','00029'
'33','00152'
'36','00032'
'36','00344'
'36','00302'
'38','00167'
'38','00034'
'40','00036'
'42','00038'
'43','00039'
'43','00042'
'43','00217'
'44','00040'
'44','00099'
'45','00041'
'45','00094'
'46','00041'
'46','00094'
'47','00142'
'47','00044'
'48','00045'
'51','00237'
'51','00048'
'52','00049'
'54','00052'
'54','00095'
'55','00053'
'55','00219'
'55','00308'
'56','00054'
'57','00355'
'57','00055'
'58','00056'
'58','00216'
'58','00187'
'59','00057'
'60','00059'
'60','00157'
'62','00061'
'63','00062'
'65','00064'
'66','00064'
'67','00065'
'68','00066'
'69','00066'
'70','00101'
'70','00067'
'71','00084'
'71','00068'
'72','00070'
'72','00310'
'75','00304'
'75','00073'
'75','00236'
'78','00238'
'78','00076'
'78','00230'
'79','00077'
'80','00078'
'80','00299'
'81','00079'
'82','00079'
'83','00080'
'84','00081'
'85','00082'
'86','00085'
'87','00086'
'87','00165'
'88','00207'
'88','00087'
'89','00088'
'90','00089'
'90','00199'
'91','00090'
'92','00091'
'92','00195'
'93','00092'
'94','00092'
'95','00093'
'96','00223'
'96','00181'
'96','00096'
'99','00122'
'99','00102'
'100','00103'
'100','00138'
'101','00103'
'101','00138'
'102','00104'
'103','00105'
'105','00211'
'105','00107'
'106','00108'
'107','00109'
'109','00111'
'110','00303'
'110','00194'
'110','00112'
'112','00306'
'112','00114'
'113','00162'
'113','00115'
'113','00354'
'114','00116'
'115','00117'
'115','00160'
'116','00118'
'117','00118'
'118','00240'
'118','00177'
'118','00120'
'119','00240'
'119','00177'
'119','00120'
'120','00209'
'120','00121'
'122','00124'
'122','00311'
'123','00125'
'123','00191'
'124','00180'
'124','00126'
'125','00127'
'126','00127'
'127','00128'
'127','00189'
'128','00129'
'129','00130'
'130','00131'
'130','00201'
'132','00133'
'132','00234'
'133','00134'
'133','00170'
'134','00135'
'134','00151'
'135','00136'
'135','00309'
'136','00137'
'137','00139'
'138','00140'
'139','00140'
'140','00147'
'140','00141'
'142','00144'
'143','00145'
'144','00179'
'144','00146'
'144','00340'
'145','00148'
'146','00149'
'146','00301'
'150','00156'
'151','00158'
'151','00296'
'152','00291'
'152','00159'
'153','00161'
'154','00163'
'155','00347'
'155','00164'
'156','00347'
'156','00164'
'157','00202'
'157','00168'
'157','00166'
'158','00169'
'159','00171'
'160','00232'
'160','00172'
'162','00174'
'163','00174'
'164','00176'
'166','00182'
'167','00188'
'167','00183'
'169','00185'
'170','00186'
'170','00297'
'172','00192'
'173','00193'
'175','00197'
'177','00200'
'177','00235'
'178','00203'
'178','00228'
'179','00203'
'179','00228'
'180','00204'
'181','00205'
'182','00206'
'183','00208'
'184','00210'
'185','00212'
'185','00222'
'186','00213'
'187','00213'
'188','00214'
'189','00215'
'190','00215'
'191','00218'
'195','00225'
'197','00227'
'198','00229'
'199','00231'
'199','00356'
'200','00233'
'201','00239'
'219','00294'
'219','00359'
'229','00289'
'230','00290'
'232','00293'
'235','00305'
'236','00307'
'237','00312'
'263','00338'
'265','00341'
'266','00341'
'267','00342'
'268','00343'
'269','00345'
'270','00349'
'271','00350'
'272','00350'
'273','00339'
'273','00351'
'275','00353'
'276','00357'
'277','00358'
'278','00358'
